host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,neighbourhood_cleansed_encoded,amenities_encoded
0,1,100.0,1,0,1,1,0,0,1,0,3.0,4.0,0,1.0,1.0,1.0,999.0,1.6,21,5.0,21.0,0.0,0,0,0,0.0,0.0,4.78,4.84,4.89,4.95,4.84,4.95,4.68,3.0,0.15,3,926
0,0,89.0,0,1,1,1,1,1,1,0,1.0,1.0,1,1.5,2.0,2.0,1026.3,1.6,45,1.8,45.0,0.0,11,41,53,0.0,0.0,4.86,4.95,4.9,5.0,4.86,5.0,4.76,1.0,0.19,10,14275
1,1,88.0,0,1,1,1,1,1,1,0,3.0,17.0,1,2.0,3.0,0.0,1063.0,3.0,1125,3.0,1125.0,1.0,43,73,348,9.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.8,1.0,0.16,5,22740
1,1,97.0,0,0,1,1,1,1,1,1,6.2,7.3,1,1.0,1.0,2.0,1447.0,3.0,1000,3.0,1125.0,1.0,52,82,82,13.0,0.0,4.84,4.87,4.9,4.91,4.9,4.89,4.79,4.9,1.27,5,20254
0,1,82.0,1,1,1,1,1,1,1,0,1.0,1.0,0,1.0,1.0,1.0,1068.0,1.6,1125,1.8,1125.0,1.0,37,37,214,4.0,0.0,4.59,4.66,4.69,4.81,4.72,4.75,4.5,1.0,0.33,10,11639
1,1,100.0,1,1,1,1,1,1,1,0,5.0,7.0,0,1.5,1.0,1.0,1026.3,1.0,1125,1.8,1125.0,1.0,28,39,302,45.0,5.0,4.89,4.93,4.89,4.97,4.87,4.96,4.8,3.0,1.63,10,6320
1,1,97.0,1,1,1,1,0,0,1,0,6.0,10.0,0,1.0,1.0,1.0,500.0,2.0,1125,2.0,1125.0,0.0,0,0,267,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03,3,18968
0,0,0.0,0,0,1,1,0,0,1,0,2.0,2.0,0,1.0,1.0,1.0,406.0,3.0,1125,3.0,1125.0,0.0,0,0,0,0.0,0.0,4.88,4.88,5.0,4.88,4.96,4.9,4.77,2.0,0.19,2,1444
0,1,80.0,0,1,1,1,1,1,1,0,1.0,3.0,0,1.0,1.0,1.0,780.0,3.0,1125,3.0,1125.0,0.0,17,47,322,1.0,0.0,4.61,4.62,4.8,4.79,4.86,4.96,4.46,1.0,0.19,5,2510
1,1,99.0,0,1,1,1,1,1,1,0,12.0,13.0,0,1.0,1.0,2.0,950.0,1.0,90,1.0,1125.0,0.0,39,69,344,23.0,0.0,4.84,4.88,4.86,4.94,4.94,4.88,4.82,2.0,2.37,5,17297
1,1,99.0,0,1,1,1,0,1,1,0,12.0,13.0,0,1.0,1.0,1.0,991.0,1.0,90,1.0,1125.0,0.0,0,30,305,26.0,1.0,4.88,4.85,4.89,4.95,4.94,4.89,4.85,2.0,1.83,5,9856
